date,close_price
2022-01-01,100.49671415301123
2022-01-02,100.35844985184005
2022-01-03,101.00613838994074
2022-01-04,102.52916824634876
2022-01-05,102.29501487162543
2022-01-06,102.06087791467625
2022-01-07,103.64009073018364
2022-01-08,104.40752545933655
2022-01-09,103.9380510734016
2022-01-10,104.48061111698756
2022-01-11,104.0171934241751
2022-01-12,103.55146367060485
2022-01-13,103.79342594217087
2022-01-14,101.88014569751307
2022-01-15,100.15522786500004
2022-01-16,99.59294033575907
2022-01-17,98.58010921542466
2022-01-18,98.89435654801993
2022-01-19,97.98633247249872
2022-01-20,96.57402877116343
2022-01-21,98.03967754008498
2022-01-22,97.81390123959844
2022-01-23,97.88142944428637
2022-01-24,96.4566812580729
2022-01-25,95.91229853354773
2022-01-26,96.02322112325758
2022-01-27,94.87222754583529
2022-01-28,95.24792556418096
2022-01-29,94.64728687426215
2022-01-30,94.35559312446888
2022-01-31,93.75388651223948
2022-02-01,95.60616469674842
2022-02-02,95.59266747201049
2022-02-03,94.53495654305459
2022-02-04,95.35750145515777
2022-02-05,94.13665780518676
2022-02-06,94.3455214001915
2022-02-07,92.38585127631173
2022-02-08,91.05766522741331
2022-02-09,91.25452646328243
2022-02-10,91.99299304327783
2022-02-11,92.1643613244678
2022-02-12,92.04871304207957
2022-02-13,91.74760934649028
2022-02-14,90.26908735612285
2022-02-15,89.54924314772813
2022-02-16,89.08860437676836
2022-02-17,90.14572660298727
2022-02-18,90.48934489255574
2022-02-19,88.72630473719299
2022-02-20,89.0503887065878
2022-02-21,88.66530642617147
2022-02-22,87.98838442586552
2022-02-23,88.60006071470639
2022-02-24,89.63106023720233
2022-02-25,90.56234035631853
2022-02-26,89.7231228330959
2022-02-27,89.41391045724468
2022-02-28,89.74517388864824
2022-03-01,90.7207190157706
2022-03-02,90.24154477792531
2022-03-03,90.0558858012615
2022-03-04,88.94955082725546
2022-03-05,87.7533442031748
2022-03-06,88.565870025569
2022-03-07,89.92211005413982
2022-03-08,89.85009993255949
2022-03-09,90.85363283045152
